fecha_hecho,anio_hecho_i,mes_hecho_num,dia_semana,hora_hecho_h,mes_hecho_num_sin,mes_hecho_num_cos,hora_hecho_h_sin,hora_hecho_h_cos,latitud,longitud,alcaldia_hecho,colonia_catalogo,categoria_delito
2022-11-20,2022.0,11.0,DOMINGO,12.0,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,19.4229449238624,-99.1259434802209,VENUSTIANO CARRANZA,Zona Centro,DELITO DE BAJO IMPACTO
2018-07-18,2018.0,7.0,MIÉRCOLES,17.0,1.2246467991473532e-16,-1.0,-0.9659258262890683,-0.25881904510252063,19.39435,-99.07398,IZTACALCO,Agricola Oriental,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA
2019-05-19,2019.0,5.0,DOMINGO,1.0,0.8660254037844387,-0.4999999999999998,0.25881904510252074,0.9659258262890683,19.44247,-99.10756,VENUSTIANO CARRANZA,20 De Noviembre,DELITO DE BAJO IMPACTO
2021-09-30,2021.0,9.0,JUEVES,8.0,-0.8660254037844384,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,19.30921,-99.13348,COYOACAN,El Parque De Coyoacan,DELITO DE BAJO IMPACTO
2017-11-01,2017.0,11.0,MIÉRCOLES,21.0,-0.8660254037844386,0.5000000000000001,-0.7071067811865477,0.7071067811865474,19.39536,-99.149,BENITO JUAREZ,Narvarte Oriente,DELITO DE BAJO IMPACTO
2024-08-29,2024.0,8.0,JUEVES,12.0,-0.5000000000000001,-0.8660254037844386,1.2246467991473532e-16,-1.0,19.3818250198338,-99.1467622299999,BENITO JUAREZ,Periodista,DELITO DE BAJO IMPACTO
2019-10-09,2019.0,10.0,MIÉRCOLES,14.0,-1.0,-1.8369701987210297e-16,-0.5000000000000001,-0.8660254037844386,19.33107,-99.2102,ALVARO OBREGON,Jardines Del Pedregal,DELITO DE BAJO IMPACTO
2019-05-02,2019.0,5.0,JUEVES,13.0,0.8660254037844387,-0.4999999999999998,-0.25881904510252035,-0.9659258262890684,19.46038,-99.11903,GUSTAVO A. MADERO,Emiliano Zapata,DELITO DE BAJO IMPACTO
2017-11-26,2017.0,11.0,DOMINGO,15.0,-0.8660254037844386,0.5000000000000001,-0.7071067811865475,-0.7071067811865477,19.52568,-99.16803,GUSTAVO A. MADERO,Santa Rosa,DELITO DE BAJO IMPACTO
2021-02-03,2021.0,2.0,MIÉRCOLES,7.0,0.49999999999999994,0.8660254037844387,0.9659258262890683,-0.25881904510252085,19.40967,-99.05759,IZTACALCO,Agricola Pantitlan,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA
2022-03-09,2022.0,3.0,MIÉRCOLES,18.0,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,19.36605,-99.00278,IZTAPALAPA,Ermita Zaragoza,DELITO DE BAJO IMPACTO
2017-11-15,2017.0,11.0,MIÉRCOLES,18.0,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,19.47632,-99.0825,GUSTAVO A. MADERO,Ampliacion Casas Aleman,ROBO A NEGOCIO CON VIOLENCIA
2024-02-14,2024.0,2.0,MIÉRCOLES,13.0,0.49999999999999994,0.8660254037844387,-0.25881904510252035,-0.9659258262890684,19.3492290598333,-99.1814902399999,ALVARO OBREGON,Ex-Hacienda De Guadalupe Chimalistac,DELITO DE BAJO IMPACTO
2024-07-20,2024.0,7.0,SÁBADO,13.0,1.2246467991473532e-16,-1.0,-0.25881904510252035,-0.9659258262890684,19.3002897298338,-99.2615507199999,LA MAGDALENA CONTRERAS,Crescencio Juarez Chavira,DELITO DE BAJO IMPACTO
2023-01-07,2023.0,1.0,SÁBADO,23.0,0.0,1.0,-0.2588190451025207,0.9659258262890683,19.3373572838572,-99.0039952798874,IZTAPALAPA,Lomas De La Estancia,DELITO DE BAJO IMPACTO
2019-01-07,2019.0,1.0,LUNES,6.0,0.0,1.0,1.0,6.123233995736766e-17,19.37502,-99.08857,IZTAPALAPA,Central De Abasto,DELITO DE BAJO IMPACTO
2021-02-20,2021.0,2.0,SÁBADO,10.0,0.49999999999999994,0.8660254037844387,0.49999999999999994,-0.8660254037844387,19.4279,-99.19353,MIGUEL HIDALGO,Polanco Iv Seccion,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA
2023-08-29,2023.0,8.0,MARTES,1.0,-0.5000000000000001,-0.8660254037844386,0.25881904510252074,0.9659258262890683,19.2869183754954,-99.1336324795247,TLALPAN,Ex Hacienda San Juan De Dios,DELITO DE BAJO IMPACTO
2019-04-06,2019.0,4.0,SÁBADO,16.0,1.0,6.123233995736766e-17,-0.8660254037844384,-0.5000000000000004,19.38374,-99.19591,ALVARO OBREGON,Carola,DELITO DE BAJO IMPACTO
2020-03-17,2020.0,3.0,MARTES,11.0,0.8660254037844386,0.5000000000000001,0.258819045102521,-0.9659258262890682,19.29106,-99.13121,TLALPAN,Ex Hacienda San Juan De Dios,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA
